scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
347,moderate,quadratic-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.012
348,moderate,quadratic-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.03
349,moderate,quadratic-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.029
350,moderate,quadratic-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.021750000000000002
351,moderate,quadratic-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.0145
352,moderate,quadratic-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-5.02,1,-0.01255887,-5,0.029,0.036250000000000004
353,moderate,quadratic-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.033
354,moderate,quadratic-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.02475
355,moderate,quadratic-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.0165
356,moderate,quadratic-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-4.99,1,-0.01642314,-5,0.033,0.04125
357,moderate,quadratic-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.024
358,moderate,quadratic-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.018000000000000002
359,moderate,quadratic-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.012
360,moderate,quadratic-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-4.91,1,-0.01642314,-5,0.024,0.03
361,moderate,quadratic-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.029
362,moderate,quadratic-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.021750000000000002
363,moderate,quadratic-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.0145
364,moderate,quadratic-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-4.42,1,-0.05168458,-5,0.029,0.036250000000000004
