scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
431,moderate,non-monotonic,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.012
432,moderate,non-monotonic,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.08537934,1.354139,0.0742429,0,0.024,0.03
433,high,constant,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.079
434,high,constant,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.05925
435,high,constant,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.0395
436,high,constant,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.09875
437,high,constant,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.089
438,high,constant,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.06675
439,high,constant,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.0445
440,high,constant,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.11124999999999999
441,high,constant,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.069
442,high,constant,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.051750000000000004
443,high,constant,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.0345
444,high,constant,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.08625000000000001
445,high,constant,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.079
446,high,constant,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.05925
447,high,constant,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.0395
448,high,constant,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.09875
449,high,constant,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.089
450,high,constant,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.06675
451,high,constant,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.0445
452,high,constant,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.11124999999999999
453,high,constant,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.069
454,high,constant,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.051750000000000004
455,high,constant,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.0345
456,high,constant,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.08625000000000001
457,high,constant,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.079
458,high,constant,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.05925
459,high,constant,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.0395
460,high,constant,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.6931471805599453,1,0,0,0.079,0.09875
461,high,constant,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.089
462,high,constant,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.06675
463,high,constant,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.0445
464,high,constant,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.6931471805599453,1,0,0,0.089,0.11124999999999999
465,high,constant,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.069
466,high,constant,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.051750000000000004
467,high,constant,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.0345
468,high,constant,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.6931471805599453,1,0,0,0.069,0.08625000000000001
469,high,linear-moderate,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.079
470,high,linear-moderate,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.05925
471,high,linear-moderate,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.0395
472,high,linear-moderate,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.09875
473,high,linear-moderate,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.089
474,high,linear-moderate,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.06675
475,high,linear-moderate,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.0445
476,high,linear-moderate,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.11124999999999999
477,high,linear-moderate,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.069
478,high,linear-moderate,4250,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.051750000000000004
479,high,linear-moderate,4250,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.0345
480,high,linear-moderate,4250,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.08625000000000001
481,high,linear-moderate,1063,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.079
482,high,linear-moderate,1063,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.05925
483,high,linear-moderate,1063,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.0395
484,high,linear-moderate,1063,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.09875
485,high,linear-moderate,1063,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.089
486,high,linear-moderate,1063,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.06675
487,high,linear-moderate,1063,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.0445
488,high,linear-moderate,1063,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.11124999999999999
489,high,linear-moderate,1063,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.069
490,high,linear-moderate,1063,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.051750000000000004
491,high,linear-moderate,1063,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.0345
492,high,linear-moderate,1063,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.08625000000000001
493,high,linear-moderate,17000,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.079
494,high,linear-moderate,17000,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.05925
495,high,linear-moderate,17000,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.0395
496,high,linear-moderate,17000,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.75,0.9472527,0,0,0.079,0.09875
497,high,linear-moderate,17000,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.089
498,high,linear-moderate,17000,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.06675
499,high,linear-moderate,17000,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.0445
500,high,linear-moderate,17000,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.77,0.9340659,0,0,0.089,0.11124999999999999
501,high,linear-moderate,17000,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.069
502,high,linear-moderate,17000,0.85,moderate-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.051750000000000004
503,high,linear-moderate,17000,0.85,strong-positive,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.0345
504,high,linear-moderate,17000,0.85,negative,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.73,0.9296703,0,0,0.069,0.08625000000000001
505,high,linear-high,4250,0.75,absent,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.079
506,high,linear-high,4250,0.75,moderate-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.05925
507,high,linear-high,4250,0.75,strong-positive,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.0395
508,high,linear-high,4250,0.75,negative,-2.08,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,-0.9,0.7956044,0,0,0.079,0.09875
509,high,linear-high,4250,0.65,absent,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.089
510,high,linear-high,4250,0.65,moderate-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.06675
511,high,linear-high,4250,0.65,strong-positive,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.0445
512,high,linear-high,4250,0.65,negative,-1.63,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,-0.96,0.7758242,0,0,0.089,0.11124999999999999
513,high,linear-high,4250,0.85,absent,-2.7,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,-0.84,0.7846154,0,0,0.069,0.069
